ID,Titolo,Generi,Punteggio_Utente,Stato_Utente,Punteggio_Medio,Rank,Popolarita
43783,"""Aishiteru"", Uso dakedo.","Romance, Shoujo",0,on_hold,6.26,19129,7539
32081,"""Aoi"" Hikaru ga Chikyuu ni Ita Koro......","School, Shounen, Supernatural",6,completed,7.22,5899,3929
36037,"""Bungaku Shoujo"" to Ue Kawaku Ghost","Drama, Psychological, Romance, Shounen",0,on_hold,6.89,11022,13132
62841,"""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten","Fantasy, Mystery",0,reading,7.71,1724,10212
682,"""Kare"" First Love","Drama, Romance, School, Shoujo, Slice of Life",6,completed,7.51,2958,1243
131734,"""Kawaii"" wa Kimi no Mono","Comedy, Love Status Quo, Romance, School, Shounen",0,reading,6.35,18407,9586
121341,"""Kouryakubon"" wo Kushi Suru Saikyou no Mahoutsukai: ""Meirei Sasero"" to wa Iwasenai Oreryuu Maou Toubatsu Saizen Route","Action, Adventure, Fantasy",0,reading,6.24,19228,3284
100058,"""Mi""-seijuku","Drama, Romance, Shoujo",0,reading,,41021,24366
38,+Anima,"Adventure, Fantasy, Shounen",5,completed,7.65,2040,928
12922,+C: Sword and Cornett,"Action, Adventure, Drama, Fantasy, Josei",6,completed,7.26,5484,2772
72113,+α no Tachiichi,"Adventure, Comedy, Fantasy",6,completed,6.43,17687,9485
17931,-Hitogatana-,"Action, Sci-Fi, Shounen",0,reading,7.15,6877,4029
42755,009 Re:Cyborg,"Action, Sci-Fi, Seinen, Supernatural",0,reading,6.8,12426,14527
1371,01,"Action, Ecchi, Martial Arts, Sci-Fi, Seinen",0,on_hold,5.92,20323,7261
1349,07-Ghost,"Action, Fantasy, Josei, Military, Mythology",6,completed,7.9,1034,539
68115,08:05 no Hengao-san,"Comedy, Romance, School, Shoujo, Slice of Life",4,completed,6.16,19622,7202
1794,090: Eko to Issho,"Comedy, Romance, School, Shounen",5,completed,6.42,17813,7043
18994,1 Love 9,"Comedy, Ecchi, Harem, Romance, School, Seinen",0,on_hold,5.95,20276,7192
92111,1-Day Idol,"Drama, Shoujo",5,completed,5.91,20343,32338
20923,1-nen 5-kumi Ikimonogakari,"Romance, School, Shoujo, Super Power, Supernatural, Vampire",0,reading,6.57,15949,10588
112398,1-nen A-gumi no Monster,"Drama, School, Shounen",0,reading,6.38,18197,1028
10709,1.8m² no Himegoto,Shoujo,0,on_hold,6.27,19045,15865
34209,1/11: Juuichi Bun no Ichi,"Shounen, Slice of Life, Sports, Team Sports",0,on_hold,7.69,1852,5575
95578,10-manbun no 1,"Drama, Romance, School, Shoujo",0,reading,7.34,4459,11884
97872,10-nengoshi no Hiki-NEET wo Yamete Gaishutsu shitara,"Comedy, Fantasy",0,reading,,40409,24449
66785,100,"Comedy, Sci-Fi",0,on_hold,6.52,16694,20170
1402,100% Perfect Girl,"Drama, Psychological, Romance",5,completed,7.58,2476,2461
99449,100-man no Inochi no Ue ni Ore wa Tatteiru,"Action, Drama, Fantasy, Isekai, Shounen",0,reading,7.03,8730,1555
47168,100-man Volt no Kanojo,"Comedy, School",0,on_hold,,37535,25693
114677,100-mankai no Suki wo Ageru,"Romance, School, Shoujo",0,reading,6.73,13516,23140
159995,100-nen no Oshi,"Comedy, Harem, Idols (Female), Romance",0,reading,6.23,19308,9869
125069,"100-nin no Eiyuu wo Sodateta Saikyou Yogensha wa, Boukensha ni Nattemo Sekaijuu no Deshi kara Shitawaretemasu @comic","Action, Adventure, Comedy, Fantasy",0,reading,6.22,19361,4664
109360,1000-en Hero,"Action, Comedy, School, Supernatural",0,reading,6.61,15353,10047
130678,"108-kai Korosareta Akuyaku Reijou: Subete wo Omoidashita node, Otome wa Ruby de Kiseki Shimasu","Comedy, Fantasy, Villainess",0,reading,6.09,19887,9518
19745,11eyes: Tsumi to Batsu to Aganai no Shoujo,"Action, Ecchi, Fantasy, Harem, Romance, Shounen, Supernatural",3,completed,6.33,18597,5010
51315,12 Beast,"Action, Adventure, Comedy, Ecchi, Fantasy, Mecha, Shounen",0,on_hold,6.88,11237,2330
31185,14-sai no Koi,"Comedy, Josei, Romance, School",0,on_hold,7.44,3560,640
17731,16 Life,"Romance, School, Shoujo",6,completed,7.06,8320,1475
78033,"16-sai, Shinkon Hajimemashita.","Romance, School, Shoujo",0,on_hold,6.62,15244,4322
48805,17-sai °C,"Drama, Music, Romance, School, Seinen",5,completed,5.9,20359,11828
48825,"17-sai, Kiss to Dilemma","Drama, Romance, Shoujo",0,on_hold,6.84,11835,3153
