ID,Titolo,Generi,Punteggio,Stato
3,20th Century Boys,"Award Winning, Drama, Historical, Mystery, Psychological, Sci-Fi, Seinen",9,completed
743,21st Century Boys,"Award Winning, Drama, Mystery, Psychological, Sci-Fi, Seinen",0,completed
1224,3-gatsu no Lion,"Award Winning, Childcare, Drama, Iyashikei, Seinen, Slice of Life, Strategy Game",6,on_hold
147337,"66,666 Years: Advent of the Dark Mage","Fantasy, Reincarnation",4,dropped
134678,A Business Proposal,"Adult Cast, Comedy, Drama, Romance, Workplace",5,completed
148457,A Dance of Swords in the Night,"Action, Fantasy, Martial Arts",5,dropped
41723,A Fairytale for the Demon Lord,"Action, Adventure, Fantasy, Romance",0,plan_to_read
158496,A Modern Man Who Got Transmigrated Into the Murim World,"Action, Fantasy, Isekai, Martial Arts, Reincarnation",0,plan_to_read
132247,A Returner's Magic Should Be Special,"Action, Fantasy, School, Time Travel",6,completed
50027,About Death,"Psychological, Slice of Life, Supernatural",8,completed
172750,Absolute Regression,"Action, Fantasy, Martial Arts, Time Travel",7,reading
174691,Absolute Reign,"Action, Fantasy, Martial Arts",7,reading
149880,Absolute Sword Sense,"Action, Fantasy, Martial Arts, Time Travel",4,dropped
143991,After God,"Action, Fantasy",0,plan_to_read
147448,After School Lessons for Unripe Apples,"Romance, School",6,dropped
150210,After Ten Millennia in Hell,"Action, Fantasy",5,dropped
103939,Aharen-san wa Hakarenai,"Comedy, Love Status Quo, Romance, School, Shounen",3,dropped
147014,Aisha,"Drama, Mystery, Psychological, Suspense",0,plan_to_read
49865,Ajin,"Action, Gore, Horror, Mystery, Seinen, Supernatural",7,completed
1218,Akagi: Yami ni Oritatta Tensai,"Action, Adult Cast, Drama, Organized Crime, Psychological, Strategy Game",0,plan_to_read
21525,Akatsuki no Yona,"Adventure, Fantasy, Romance, Shoujo",0,plan_to_read
664,Akira,"Action, Award Winning, Gore, Sci-Fi, Seinen",0,plan_to_read
24705,Aku no Hana,"Drama, Psychological, Romance, School, Shounen",0,plan_to_read
1101,Akumetsu,"Action, Detective, Drama, Psychological, Shounen, Suspense",8,completed
125325,Akuyaku Reijou Tensei Ojisan,"Comedy, Fantasy, School, Seinen, Villainess",3,dropped
62887,All You Need Is Kill,"Action, Military, Sci-Fi, Seinen, Time Travel",7,completed
63535,Amaama to Inazuma,"Childcare, Comedy, Gourmet, Iyashikei, Seinen, Slice of Life",5,completed
129418,Ame to Kimi to,"Comedy, Seinen, Slice of Life",0,plan_to_read
143336,Among Us,"Comedy, Kids, Sci-Fi, Space",6,completed
